Timestamp,Method,MSE,PSNR,SSIM,L1 Loss
2025-05-05 01:25:00,Regenerate1,0.043321148,13.633000475951757,0.2520142,0.14915735
2025-05-05 01:25:00,Regenerate2,0.01985853724181652,17.02052744320166,0.55209833,0.09682044386863708
2025-05-05 01:25:00,Regenerate3,0.01203338522464037,19.196121800112582,0.84716845,0.03322531655430794
2025-05-05 01:27:57,Regenerate1,0.032508794,14.879991385952113,0.4535705,0.09094202
2025-05-05 01:27:57,Regenerate2,0.03927581384778023,14.058748070279492,0.5768132,0.08837781101465225
2025-05-05 01:27:57,Regenerate3,0.024457523599267006,16.115875187477997,0.8675163,0.047689199447631836
2025-05-05 01:33:16,Regenerate1,0.044769138,13.490212666393077,0.30205002,0.1450008
2025-05-05 01:33:16,Regenerate2,0.017800305038690567,17.495725552481304,0.5540859,0.08786527067422867
2025-05-05 01:33:16,Regenerate3,0.010850938968360424,19.645326792225084,0.81881016,0.041216883808374405
2025-05-05 01:33:49,Regenerate1,0.06205647,12.07212927679498,0.36909413,0.16286802
2025-05-05 01:33:49,Regenerate2,0.037550367414951324,14.253858092455577,0.65836513,0.10365405678749084
2025-05-05 01:33:49,Regenerate3,0.021263713017106056,16.723608977598975,0.7347333,0.05047784373164177
2025-05-05 09:25:02,Regenerate1,0.08784723,10.56271914197583,0.45077336,0.23099299
2025-05-05 09:25:02,Regenerate2,0.041679996997117996,13.800723209977626,0.776536,0.13344798982143402
2025-05-05 09:25:02,Regenerate3,0.024005727842450142,16.19685121889451,0.8339651,0.054069701582193375
2025-05-05 09:41:03,Regenerate1,0.0729155,11.371801305202318,0.16706146,0.18337487
2025-05-05 09:41:03,Regenerate2,0.05579815432429314,12.533801662959647,0.4861908,0.13349126279354095
2025-05-05 09:41:03,Regenerate3,0.033968184143304825,14.68927668838569,0.8369878,0.05689331516623497
2025-05-05 10:00:49,Regenerate1,0.04521556,13.447121027076538,0.5962685,0.15847842
2025-05-05 10:00:49,Regenerate2,0.02839856781065464,15.467035616294954,0.80626565,0.12908507883548737
2025-05-05 10:00:49,Regenerate3,0.0071943593211472034,21.430078752060787,0.872082,0.034211043268442154
2025-05-05 10:00:57,Regenerate1,0.08283581,10.817818851093001,0.487179,0.22280352
2025-05-05 10:00:57,Regenerate2,0.05004071071743965,13.006765307437995,0.78834033,0.14099889993667603
2025-05-05 10:00:57,Regenerate3,0.030365562066435814,15.17618675677846,0.82869905,0.064547099173069
2025-05-05 10:05:01,Regenerate1,0.053865552,12.686888856747334,0.26277313,0.18130793
2025-05-05 10:05:01,Regenerate2,0.01404991652816534,18.523262559343372,0.6262353,0.09743427485227585
2025-05-05 10:05:01,Regenerate3,0.0060344357043504715,22.193633356652207,0.8744943,0.029791252687573433
2025-05-05 10:08:12,Regenerate1,0.054722864,12.618311798302496,0.54951674,0.17075367
2025-05-05 10:08:12,Regenerate2,0.03112323023378849,15.069153345645452,0.79682463,0.12749804556369781
2025-05-05 10:08:12,Regenerate3,0.017466826364398003,17.577859969996897,0.8484126,0.054543811827898026
2025-05-05 10:10:28,Regenerate1,0.05187407,12.850496648725517,0.56449586,0.15696014
2025-05-05 10:10:28,Regenerate2,0.04912951588630676,13.086575153062824,0.76011634,0.15043263137340546
2025-05-05 10:10:28,Regenerate3,0.029841428622603416,15.251803893742458,0.82743484,0.06753560155630112
